timestamp,open,high,low,close,volume,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume
1707156900000.0,95.716,95.744,95.407,95.581,127793.0,12210985.218,15725.0,56570.0,5405506.869
1707157800000.0,95.581,95.698,95.453,95.611,95596.0,9137357.133,11385.0,46551.0,4449676.688
1707158700000.0,95.612,95.924,95.555,95.875,105344.0,10084075.801,12395.0,60090.0,5752401.725
1707159600000.0,95.877,96.232,95.75,96.135,149008.0,14313745.188,17522.0,86650.0,8323969.381
1707160500000.0,96.136,96.485,96.132,96.323,160573.0,15472821.058,19444.0,82918.0,7989728.486
1707161400000.0,96.323,96.477,95.917,95.941,210361.0,20219438.751,19159.0,66409.0,6386988.573
1707162300000.0,95.942,96.233,95.851,95.906,94425.0,9070036.585,11540.0,54870.0,5271007.5
1707163200000.0,95.905,96.043,95.334,95.362,268654.0,25666088.056,24372.0,101727.0,9720823.188
1707164100000.0,95.358,95.651,94.805,95.339,429297.0,40861654.933,43293.0,195418.0,18608594.37
1707165000000.0,95.339,95.731,95.211,95.666,148584.0,14198036.93,18515.0,82977.0,7928480.596
1707165900000.0,95.666,95.909,95.534,95.86,131624.0,12600409.975,16002.0,73975.0,7082078.125
1707166800000.0,95.863,96.093,95.512,95.62,200404.0,19201216.287,22134.0,106205.0,10178704.142
1707167700000.0,95.624,95.744,95.128,95.302,129584.0,12358615.169,15915.0,49635.0,4734104.305
1707168600000.0,95.306,95.635,94.908,95.469,211696.0,20156940.159,22968.0,98579.0,9389707.941
1707169500000.0,95.47,95.58,94.823,94.886,262086.0,24911432.114,24695.0,107777.0,10242606.293
1707170400000.0,94.886,95.26,94.5,95.159,279477.0,26509863.448,29159.0,137240.0,13023691.436
1707171300000.0,95.159,95.33,94.5,94.527,181552.0,17208479.013,18084.0,80981.0,7678916.76
1707172200000.0,94.528,94.799,94.171,94.784,205503.0,19420429.049,19093.0,95610.0,9039469.061
1707173100000.0,94.783,94.804,94.471,94.716,113104.0,10708550.792,11254.0,46203.0,4375693.205
1707174000000.0,94.716,94.868,94.521,94.796,115056.0,10894954.52,14360.0,62588.0,5926995.186
1707174900000.0,94.794,95.594,94.742,95.528,208943.0,19917882.149,25412.0,120247.0,11460051.785
1707175800000.0,95.528,95.831,95.391,95.693,147105.0,14071751.306,19557.0,75789.0,7250603.539
1707176700000.0,95.688,95.873,95.5,95.605,100038.0,9573051.396,11899.0,48256.0,4618531.471
1707177600000.0,95.6,95.922,95.45,95.71,159423.0,15250912.827,18255.0,78072.0,7469234.816
1707178500000.0,95.709,95.865,95.426,95.583,101393.0,9692163.501,13680.0,52473.0,5015621.974
1707179400000.0,95.584,95.853,95.5,95.655,63075.0,6036991.849,11316.0,33989.0,3253195.081
1707180300000.0,95.657,95.948,95.479,95.556,93147.0,8911666.035,13415.0,46579.0,4456974.048
1707181200000.0,95.556,95.78,95.171,95.387,198693.0,18951933.018,22743.0,96456.0,9201498.913
1707182100000.0,95.387,96.143,95.278,95.827,139174.0,13331689.388,19514.0,75346.0,7218991.086
1707183000000.0,95.823,96.087,95.615,96.031,93839.0,8996740.485,12588.0,49179.0,4714856.38
1707183900000.0,96.031,96.147,95.676,95.778,86586.0,8304585.035,11376.0,41952.0,4024508.273
1707184800000.0,95.779,96.21,95.578,96.093,100263.0,9620642.151,14698.0,56448.0,5417119.758
1707185700000.0,96.094,96.29,96.0,96.046,97502.0,9373618.787,13979.0,43863.0,4217178.439
1707186600000.0,96.051,96.65,95.87,96.611,167399.0,16130085.391,20972.0,93733.0,9033413.607
1707187500000.0,96.611,96.7,96.366,96.393,120743.0,11658468.293,15271.0,56104.0,5417229.673
1707188400000.0,96.394,96.79,96.393,96.745,126141.0,12184789.084,15890.0,74672.0,7213747.609
1707189300000.0,96.745,96.753,96.306,96.327,104654.0,10100936.378,13204.0,41636.0,4018417.72
1707190200000.0,96.327,96.349,95.65,95.836,251733.0,24161441.983,24281.0,100150.0,9612567.189
1707191100000.0,95.835,96.104,95.6,95.969,148152.0,14203012.811,15937.0,78677.0,7544183.251
1707192000000.0,95.969,96.063,95.651,95.791,137676.0,13193257.374,14063.0,71364.0,6837961.46
1707192900000.0,95.791,95.955,95.554,95.859,82282.0,7880110.918,11573.0,33402.0,3199339.709
1707193800000.0,95.86,95.875,95.608,95.661,79089.0,7568946.799,9750.0,39859.0,3814591.111
1707194700000.0,95.661,95.745,95.313,95.392,122274.0,11681619.445,12954.0,51093.0,4882447.597
1707195600000.0,95.392,95.457,95.127,95.362,134151.0,12782261.038,16392.0,64871.0,6181580.622
1707196500000.0,95.362,95.373,94.7,95.183,228553.0,21730305.292,22960.0,84413.0,8028139.571
1707197400000.0,95.182,95.618,95.12,95.309,190185.0,18137579.988,16209.0,95351.0,9094490.09
1707198300000.0,95.31,95.546,95.296,95.472,68628.0,6548570.626,9268.0,41647.0,3974103.813
1707199200000.0,95.473,95.513,95.195,95.3,71977.0,6864996.018,9789.0,32539.0,3103995.291
1707200100000.0,95.3,95.451,95.207,95.294,76831.0,7323418.689,9022.0,36733.0,3501572.823
1707201000000.0,95.294,95.635,95.255,95.528,82526.0,7873646.853,9841.0,54304.0,5181593.899
1707201900000.0,95.529,95.694,95.356,95.489,85207.0,8138780.31,10611.0,46699.0,4460628.758
1707202800000.0,95.499,95.537,95.226,95.403,90809.0,8661202.848,10791.0,41711.0,3978671.36
1707203700000.0,95.402,95.479,95.291,95.421,65823.0,6279759.194,8964.0,32139.0,3066347.352
1707204600000.0,95.424,95.688,95.424,95.542,95321.0,9109982.166,13418.0,45023.0,4303161.266
1707205500000.0,95.538,95.863,95.508,95.711,135572.0,12975975.204,15902.0,74099.0,7092194.945
1707206400000.0,95.711,95.911,95.65,95.74,146875.0,14064198.043,16590.0,81252.0,7780654.159
1707207300000.0,95.739,96.19,95.714,95.836,215261.0,20662761.206,26452.0,101376.0,9731246.565
1707208200000.0,95.836,96.146,95.792,96.082,88581.0,8500494.581,12639.0,45495.0,4365964.215
1707209100000.0,96.082,96.226,95.951,96.184,118588.0,11396881.084,13982.0,57630.0,5539622.997
1707210000000.0,96.184,96.29,95.9,95.95,157471.0,15130431.087,18673.0,76144.0,7317723.992
1707210900000.0,95.95,96.099,95.782,95.969,108434.0,10404574.757,13164.0,52150.0,5003845.993
1707211800000.0,95.968,95.978,95.71,95.922,106530.0,10209737.785,11747.0,46604.0,4466554.205
1707212700000.0,95.922,96.214,95.886,96.065,113380.0,10894717.251,14255.0,61258.0,5886433.664
1707213600000.0,96.064,96.097,95.29,95.32,247795.0,23695615.717,24242.0,88677.0,8479941.377
1707214500000.0,95.32,95.511,94.68,94.93,511485.0,48619324.262,42878.0,218202.0,20744484.352
1707215400000.0,94.931,95.517,93.5,93.761,1082708.0,102376437.616,90049.0,455262.0,43086114.983
1707216300000.0,93.761,94.18,93.12,93.921,916306.0,85844136.089,84671.0,450622.0,42229963.505
1707217200000.0,93.918,94.032,93.116,93.5,659575.0,61706125.663,59061.0,326656.0,30562665.591
1707218100000.0,93.499,94.095,93.378,93.906,285593.0,26787384.537,29348.0,163486.0,15333079.948
1707219000000.0,93.907,94.273,93.752,93.94,268137.0,25209159.508,27221.0,151474.0,14242254.808
1707219900000.0,93.937,94.782,93.924,94.239,638762.0,60247250.189,52715.0,390776.0,36855213.817
1707220800000.0,94.238,94.815,94.153,94.267,390226.0,36883227.5,37194.0,200494.0,18953022.805
1707221700000.0,94.266,94.349,93.84,94.187,361350.0,33997135.106,31025.0,154113.0,14502403.152
1707222600000.0,94.187,94.318,93.829,93.846,195299.0,18366676.408,21063.0,96507.0,9077117.133
1707223500000.0,93.846,94.247,93.245,94.21,495423.0,46400602.834,49319.0,247558.0,23193221.692
1707224400000.0,94.209,94.359,93.761,94.16,266887.0,25110657.971,29583.0,127015.0,11953092.771
1707225300000.0,94.16,94.775,94.16,94.629,423059.0,39988614.068,39271.0,238308.0,22524737.279
1707226200000.0,94.628,94.762,93.874,94.048,292612.0,27590550.914,31280.0,125656.0,11849889.015
1707227100000.0,94.049,94.129,93.654,93.821,199518.0,18725024.851,22475.0,97246.0,9127402.589
1707228000000.0,93.822,94.103,93.818,94.037,204206.0,19187411.706,20428.0,120492.0,11321850.321
1707228900000.0,94.037,94.539,94.011,94.321,273975.0,25833259.579,29115.0,157661.0,14867437.569
1707229800000.0,94.321,95.123,94.208,94.735,502146.0,47584992.603,46778.0,282099.0,26732030.178
1707230700000.0,94.735,94.768,94.044,94.212,243637.0,23009572.671,24615.0,119541.0,11290702.771
1707231600000.0,94.211,94.842,94.089,94.52,267333.0,25253472.179,28448.0,151409.0,14301192.665
1707232500000.0,94.519,95.278,94.47,95.216,444614.0,42244256.542,46163.0,239556.0,22763219.072
1707233400000.0,95.211,95.5,94.933,95.299,312524.0,29759181.067,34461.0,159066.0,15150425.92
1707234300000.0,95.298,95.848,95.245,95.695,430971.0,41178942.206,39486.0,223931.0,21400697.943
1707235200000.0,95.696,95.822,95.161,95.589,336467.0,32139785.806,35388.0,157356.0,15032186.825
1707236100000.0,95.588,96.094,95.4,95.968,346551.0,33198325.574,37073.0,187523.0,17969264.102
1707237000000.0,95.974,96.087,95.556,95.649,276691.0,26512170.43,30238.0,119016.0,11406439.557
1707237900000.0,95.65,95.659,95.192,95.221,222317.0,21209022.021,23800.0,104087.0,9930224.643
1707238800000.0,95.221,95.66,95.101,95.385,185934.0,17736211.618,22871.0,108632.0,10364087.873
1707239700000.0,95.387,95.71,95.364,95.605,118555.0,11332103.159,15945.0,61125.0,5842861.088
1707240600000.0,95.606,95.709,95.452,95.651,86046.0,8224833.504,10867.0,39949.0,3818882.738
1707241500000.0,95.651,95.87,95.51,95.866,83642.0,8003526.167,12015.0,43309.0,4145083.267
1707242400000.0,95.866,96.12,95.648,95.784,202580.0,19435186.771,23034.0,97793.0,9384543.882
1707243300000.0,95.785,95.817,95.452,95.503,103383.0,9888333.975,13865.0,42145.0,4031781.247
1707244200000.0,95.502,95.749,95.302,95.749,141293.0,13491030.705,18295.0,73282.0,6997432.978
1707245100000.0,95.748,96.6,95.689,96.349,311259.0,29961795.517,33897.0,185734.0,17879513.292
1707246000000.0,96.348,96.408,96.1,96.101,123399.0,11874031.271,18204.0,52744.0,5075351.774
1707246900000.0,96.1,97.278,96.075,96.805,517682.0,50146050.269,44342.0,297754.0,28834937.505
1707247800000.0,96.804,97.714,96.749,97.19,415772.0,40440074.063,40306.0,224841.0,21869250.512
1707248700000.0,97.189,97.669,97.072,97.546,266591.0,25969846.518,27461.0,118195.0,11512426.853
