timestamp,open,high,low,close,volume,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume
1707580800000.0,245.18,245.33,244.95,245.05,559.738,137205.83904,571.0,242.074,59341.31398
1707581100000.0,245.05,245.06,244.8,244.96,476.078,116600.25542,580.0,230.99,56574.51469
1707581400000.0,244.95,245.09,244.88,245.08,252.352,61818.59132,378.0,126.105,30892.01821
1707581700000.0,245.08,245.17,244.94,245.15,370.42,90769.27783,532.0,237.8,58273.6705
1707582000000.0,245.14,245.19,244.86,245.18,453.836,111196.59279,493.0,224.142,54918.96463
1707582300000.0,245.17,245.17,245.0,245.01,196.067,48048.55968,277.0,108.292,26537.50914
1707582600000.0,245.01,245.32,245.01,245.23,690.537,169263.59205,600.0,565.215,138541.62723
1707582900000.0,245.23,245.24,245.03,245.21,309.147,75780.32644,389.0,179.347,43961.7951
1707583200000.0,245.22,245.47,245.22,245.4,806.439,197839.03725,680.0,534.581,131141.74313
1707583500000.0,245.37,245.57,245.29,245.47,436.568,107173.86899,532.0,225.285,55307.06878
1707583800000.0,245.47,245.53,245.36,245.46,543.723,133453.75343,470.0,317.881,78020.50525
1707584100000.0,245.48,246.18,245.46,246.12,3250.85,799205.38788,1633.0,2360.417,580319.234
1707584400000.0,246.11,246.32,245.25,245.55,8262.879,2030429.78907,2723.0,3103.371,762613.57413
1707584700000.0,245.54,245.92,245.4,245.5,1694.627,416361.91331,1131.0,1025.204,251908.1338
1707585000000.0,245.49,245.56,245.37,245.52,501.934,123212.98594,574.0,250.19,61419.01873
1707585300000.0,245.52,245.59,245.41,245.46,269.677,66200.66214,409.0,138.245,33937.11894
1707585600000.0,245.47,245.51,245.42,245.44,343.359,84284.25261,377.0,171.35,42062.08656
1707585900000.0,245.44,245.49,245.4,245.42,134.03,32895.12223,205.0,81.174,19922.83919
1707586200000.0,245.43,245.7,245.43,245.69,282.875,69462.60421,357.0,200.996,49351.28536
1707586500000.0,245.69,245.73,245.55,245.59,254.575,62525.00253,292.0,85.75,21063.5307
1707586800000.0,245.59,245.79,245.59,245.76,277.228,68119.71166,306.0,225.973,55523.60244
1707587100000.0,245.76,245.84,245.68,245.68,367.128,90223.95693,409.0,171.331,42106.93203
1707587400000.0,245.68,245.75,245.62,245.62,284.512,69898.88068,373.0,109.681,26946.61627
1707587700000.0,245.61,245.63,245.47,245.5,342.061,83995.08156,369.0,126.204,30992.66839
1707588000000.0,245.51,245.63,245.41,245.62,707.787,173778.01927,569.0,295.089,72453.06142
1707588300000.0,245.63,245.95,245.57,245.88,832.474,204591.33308,652.0,396.353,97422.00767
1707588600000.0,245.87,245.95,245.83,245.94,359.633,88427.99064,374.0,163.404,40179.97656
1707588900000.0,245.94,246.25,245.94,246.09,1002.185,246650.84958,627.0,593.865,146151.89495
1707589200000.0,246.14,246.32,246.11,246.27,402.529,99115.69455,473.0,251.079,61825.10379
1707589500000.0,246.27,246.56,246.27,246.55,751.747,185226.31338,612.0,439.839,108378.14211
1707589800000.0,246.54,246.82,246.54,246.79,987.705,243678.44255,784.0,564.375,139245.46635
1707590100000.0,246.81,246.82,246.7,246.75,421.151,103927.76206,400.0,86.653,21383.95541
1707590400000.0,246.75,246.75,246.61,246.67,494.813,122056.03886,395.0,176.441,43521.49422
1707590700000.0,246.66,246.66,246.51,246.56,351.824,86752.87564,373.0,105.318,25966.19297
1707591000000.0,246.56,246.7,246.51,246.58,543.418,134005.21213,522.0,182.998,45125.42724
1707591300000.0,246.57,246.7,246.54,246.59,291.224,71816.96181,259.0,104.779,25837.88181
1707591600000.0,246.59,246.66,246.51,246.57,435.333,107341.0481,451.0,171.583,42310.30979
1707591900000.0,246.57,246.58,246.49,246.53,433.132,106779.63748,324.0,116.338,28681.91968
1707592200000.0,246.53,246.62,246.42,246.46,466.894,115103.85692,375.0,199.179,49104.48448
1707592500000.0,246.46,246.64,246.45,246.64,353.516,87161.13869,386.0,231.328,57032.56572
1707592800000.0,246.64,246.88,246.64,246.76,594.516,146722.19811,675.0,354.779,87552.34728
1707593100000.0,246.78,246.81,246.69,246.81,221.842,54740.01956,304.0,109.971,27136.44636
1707593400000.0,246.81,246.88,246.76,246.85,281.547,69493.72726,367.0,178.072,43954.91859
1707593700000.0,246.85,246.92,246.73,246.89,474.451,117108.50264,416.0,225.328,55619.62631
1707594000000.0,246.88,246.96,246.72,246.82,555.904,137205.9911,405.0,162.482,40107.75274
1707594300000.0,246.82,246.82,246.56,246.57,433.817,107024.13773,432.0,109.74,27075.2105
1707594600000.0,246.57,246.65,246.49,246.54,331.36,81706.69091,363.0,141.073,34786.40126
1707594900000.0,246.55,246.66,246.43,246.52,555.955,137055.67005,335.0,131.075,32310.37086
1707595200000.0,246.52,246.52,246.41,246.42,557.421,137368.12492,537.0,322.58,79494.36889
1707595500000.0,246.41,246.42,246.12,246.24,1367.53,336842.40584,618.0,416.076,102461.07381
1707595800000.0,246.25,246.5,246.25,246.47,247.947,61092.70762,280.0,217.871,53680.87658
1707596100000.0,246.47,246.73,246.43,246.69,770.703,190035.96054,425.0,668.287,164782.27951
1707596400000.0,246.69,246.69,246.58,246.66,272.614,67234.31677,310.0,120.798,29790.81579
1707596700000.0,246.65,246.75,246.63,246.74,269.133,66396.09414,331.0,162.122,39996.35666
1707597000000.0,246.74,246.91,246.69,246.91,872.727,215384.75561,602.0,523.553,129217.65165
1707597300000.0,246.9,247.24,246.86,247.13,1157.603,286046.84608,918.0,865.989,213997.52344
1707597600000.0,247.13,247.43,247.13,247.42,1248.81,308858.10188,931.0,523.505,129477.24992
1707597900000.0,247.4,248.0,247.33,247.48,2056.443,509339.11414,1433.0,1143.277,283184.8708
1707598200000.0,247.47,247.88,247.34,247.71,2294.435,568104.57433,856.0,1018.78,252283.82597
1707598500000.0,247.72,247.89,247.36,247.38,873.047,216207.91658,653.0,345.319,85525.95383
1707598800000.0,247.41,247.95,247.4,247.95,740.058,183297.04213,715.0,496.452,122942.82132
1707599100000.0,247.95,248.0,247.71,247.82,736.57,182587.94749,690.0,238.402,59102.61665
1707599400000.0,247.81,247.82,247.44,247.6,961.526,238097.05411,954.0,505.882,125265.46741
1707599700000.0,247.58,247.79,247.52,247.62,737.874,182766.29817,557.0,395.787,98032.61113
1707600000000.0,247.62,248.09,247.59,248.0,525.039,130160.67278,545.0,328.355,81395.91157
