timestamp,open,high,low,close,volume,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume
1705319700000.0,2540.91,2541.74,2538.29,2539.9,5844.323,14842651.83146,9009.0,2148.128,5455907.00721
1705320000000.0,2539.9,2541.38,2538.44,2540.25,4216.87,10708893.30431,8880.0,1878.873,4771465.26345
1705320300000.0,2540.26,2544.22,2538.62,2540.5,5238.524,13316975.50543,9717.0,2783.926,7077075.47061
1705320600000.0,2540.49,2543.22,2540.35,2543.0,3513.067,8930245.95359,7482.0,1520.629,3865415.71752
1705320900000.0,2543.0,2545.86,2540.71,2542.32,7921.515,20147533.45954,13158.0,3521.093,8956737.1159
1705321200000.0,2542.31,2545.86,2539.3,2545.59,4977.025,12648838.10267,10011.0,2592.903,6589718.88343
1705321500000.0,2545.59,2548.8,2543.29,2544.95,12053.391,30695220.0347,20188.0,6960.111,17723928.75268
1705321800000.0,2544.96,2546.78,2543.17,2543.75,4435.194,11289457.0716,10180.0,1675.874,4265954.41828
1705322100000.0,2543.76,2546.73,2542.28,2546.24,3624.692,9226621.28405,7730.0,1832.111,4663417.72045
1705322400000.0,2546.24,2546.61,2537.0,2537.46,7863.887,19977282.23121,13242.0,3081.341,7827556.76414
1705322700000.0,2537.47,2540.39,2533.14,2538.25,8739.878,22173042.42105,16034.0,3332.962,8457461.94715
1705323000000.0,2538.25,2542.21,2537.51,2539.61,4429.073,11249548.08742,10377.0,2359.575,5993019.84018
1705323300000.0,2539.61,2542.6,2537.82,2541.35,3744.617,9514347.07066,8338.0,1601.482,4069094.08231
1705323600000.0,2541.34,2543.0,2538.8,2541.42,5306.283,13485481.22157,8585.0,2617.849,6653517.2239
1705323900000.0,2541.41,2542.95,2536.0,2536.01,4435.869,11265272.88199,9437.0,1798.527,4568484.81972
1705324200000.0,2536.01,2539.31,2535.68,2536.86,4222.211,10711731.98476,8433.0,1571.936,3987998.74838
1705324500000.0,2536.85,2539.95,2535.2,2539.09,3204.122,8131580.35873,6481.0,1694.459,4300468.38325
1705324800000.0,2539.09,2541.79,2537.11,2541.79,2691.384,6836224.09014,5872.0,1189.389,3021166.43012
1705325100000.0,2541.79,2545.92,2541.4,2545.0,5161.016,13132602.43514,9696.0,2852.94,7259220.35829
1705325400000.0,2545.0,2545.0,2540.69,2540.69,3923.625,9977558.51041,8809.0,1302.658,3312672.11956
1705325700000.0,2540.7,2545.0,2540.69,2544.0,3177.352,8080223.15989,8102.0,1591.337,4046593.28649
1705326000000.0,2544.01,2545.56,2543.06,2544.26,2317.371,5896373.18557,6755.0,974.978,2480762.59632
1705326300000.0,2544.27,2547.21,2543.07,2546.58,4237.733,10786301.79203,10567.0,2557.927,6511256.29756
1705326600000.0,2546.57,2549.79,2539.92,2541.2,19466.926,49550737.20077,23635.0,7086.073,18042516.29624
1705326900000.0,2541.2,2543.51,2537.01,2539.17,11374.362,28881349.67409,19581.0,4822.505,12245356.64534
1705327200000.0,2539.16,2540.4,2536.0,2538.78,7886.945,20015141.20829,14294.0,3555.365,9022947.82503
1705327500000.0,2538.78,2538.78,2525.64,2532.42,33457.169,84708817.89315,34391.0,16032.601,40599523.36724
1705327800000.0,2532.42,2532.76,2529.88,2531.3,8038.769,20351032.3296,13873.0,3870.246,9797870.9459
1705328100000.0,2531.3,2531.38,2522.0,2528.12,24389.257,61599855.97674,26673.0,10372.145,26196276.0192
1705328400000.0,2528.12,2530.67,2527.04,2529.0,9006.12,22778246.55026,11357.0,3641.254,9208698.98768
1705328700000.0,2529.0,2529.0,2515.58,2520.0,23225.635,58564377.97532,29014.0,9485.709,23921916.37651
1705329000000.0,2520.01,2522.86,2514.3,2517.12,15800.409,39786224.70223,25125.0,6838.63,17223558.6262
1705329300000.0,2517.12,2523.69,2515.0,2521.58,15440.563,38900130.29555,21173.0,8739.157,22019940.64064
1705329600000.0,2521.57,2524.0,2520.6,2520.94,5003.683,12619394.67884,10041.0,2421.193,6106186.06304
1705329900000.0,2520.94,2523.0,2518.26,2518.41,7691.391,19387842.2455,12023.0,3439.278,8669772.33187
1705330200000.0,2518.42,2520.47,2509.6,2511.69,23759.247,59724087.58571,29830.0,9786.298,24603919.54905
1705330500000.0,2511.69,2512.99,2505.39,2508.43,20173.817,50612045.88593,25982.0,7993.51,20054984.01792
1705330800000.0,2508.44,2515.0,2508.39,2513.62,8636.636,21692267.4538,17161.0,4967.289,12474468.75103
1705331100000.0,2513.61,2519.05,2513.54,2518.55,7451.686,18757590.93769,15933.0,3923.224,9875416.36165
1705331400000.0,2518.55,2522.28,2516.47,2520.36,8493.402,21400173.02063,14342.0,5358.837,13503590.89506
1705331700000.0,2520.36,2523.82,2513.84,2514.96,9914.054,24979053.02886,17521.0,3956.346,9971853.26732
1705332000000.0,2514.96,2519.34,2513.18,2517.29,6450.643,16231342.29086,12476.0,3472.031,8737161.5334
1705332300000.0,2517.28,2521.6,2517.05,2521.42,3855.531,9712444.29434,8551.0,2486.051,6262477.18883
1705332600000.0,2521.42,2523.0,2519.01,2522.44,4248.779,10714384.69517,8408.0,2460.058,6203732.99688
1705332900000.0,2522.43,2525.44,2521.08,2521.82,5882.911,14846832.41481,11809.0,2730.37,6890884.06687
1705333200000.0,2521.82,2521.82,2516.56,2519.46,3769.903,9496897.27798,8778.0,1533.972,3864673.69084
1705333500000.0,2519.47,2519.47,2509.0,2509.0,9534.683,23952695.9348,19887.0,3539.401,8891589.08612
1705333800000.0,2509.0,2511.72,2508.55,2509.62,9245.508,23205248.85728,15730.0,4260.597,10694388.39441
1705334100000.0,2509.63,2516.33,2508.56,2515.02,5831.57,14658203.89134,10933.0,3054.302,7677574.45156
1705334400000.0,2515.01,2520.0,2514.57,2517.45,7347.096,18498372.74481,12198.0,4386.315,11044025.73253
1705334700000.0,2517.44,2520.91,2515.59,2517.19,5610.748,14132485.58669,10279.0,3220.528,8112237.58118
1705335000000.0,2517.19,2519.24,2516.69,2519.02,3626.259,9130442.20444,7646.0,2182.287,5494806.90445
1705335300000.0,2519.02,2523.48,2518.64,2518.86,5853.727,14759807.62599,9620.0,2658.009,6701603.15706
1705335600000.0,2518.86,2521.33,2517.2,2521.33,3405.294,8577694.34886,6224.0,2002.478,5044552.59065
1705335900000.0,2521.32,2523.21,2520.36,2521.66,4898.55,12352613.79494,7533.0,1656.577,4177391.27077
1705336200000.0,2521.65,2524.75,2517.77,2519.57,10049.881,25336040.52589,11424.0,4125.44,10398914.50632
1705336500000.0,2519.57,2520.95,2518.4,2520.95,3388.421,8536857.1383,6623.0,1519.609,3828655.57605
1705336800000.0,2520.95,2528.0,2520.05,2527.63,9763.861,24656248.20576,14342.0,6272.907,15841329.1839
